Variable,m1,m2,m3,m4,m5,m6
rBS44_M_BF,,,,,,
rBM_S45_BF,,,,,,
rBA_N_BF,,,,,,
rBA_N2_BF,,,,,,
rBA_H2_BF,,,,,,
rBA_W_BF,,,,,,
rBA_S41_BF,,,,,,
rBA_S42_BF,,,,,,
rBA_S43_BF,,,,,,
rBA_S44_BF,,,,,,
rBA_S45_BF,,,,,,
rBN2_N_BF,,,,,,
rBN_H2_BF,,,,,,
rBN_W_BF,,,,,,
rBN_S41_BF,,,,,,
rBN_S42_BF,,,,,,
rBN_S43_BF,,,,,,
rBS44_N_BF,,,,,,
rBN_S45_BF,,,,,,
rBN2_H2_BF,,,,,,
rBN2_W_BF,,,,,,
rBN2_S41_BF,,,,,,
rBN2_S42_BF,,,,,,
rBN2_S43_BF,,,,,,
rBN2_S44_BF,,,,,,
rBN2_S45_BF,,,,,,
rBW_H2_BF,,,,,,
rBS41_H2_BF,,,,,,
rBS42_H2_BF,,,,,,
rBS43_H2_BF,,,,,,
rBS44_H2_BF,,,,,,
rBS45_H2_BF,,,,,,
rBW_S41_BF,,,,,,
rBS42_W_BF,,,,,,
rBW_S43_BF,,,,,,
rBS44_W_BF,,,,,,
rBS45_W_BF,,,,,,
rBS42_S41_BF,,,,,,
rBS43_S41_BF,,,,,,
rBS44_S41_BF,,,,,,
rBS45_S41_BF,,,,,,
rBS42_S43_BF,,,,,,
rBS44_S42_BF,,,,,,
rBS45_S42_BF,,,,,,
rBS44_S43_BF,,,,,,
rBS45_S43_BF,,,,,,
rBS44_S45_BF,,,,,,
logOB2,,,,,,
logOB3,,,,,,
logS1.50,,,,,,
logS2.50,,,,,,
logS3.50,,,,,,
logS1.25,,,,,,
logS2.25,,,,,,
logS3.25,,,,,,
logMrange.25,,,,,,
logMrange.50,,,,,,
logB,,,,,,
logT,,,,,,
logM,,,,,,
logA,,,,,,
logC,,,,,,
logN,,,,,,
logD,,,,,,
logF,,,,,,
logJ,,,,,,
logS1,,,,,,
logS2,,,,,,
logS3,,,,,,
logH1,,,,,,
logH2,,,,,,
logF1,,,,,,
logF2,,,,,,
logW,,,,,,
logLT1,,,,,,
logLT2,,,,,,
logLT3,,,,,,
logLA,,,,,,
logS41,,,,,,
logS42,,,,,,
logS43,,,,,,
logS44,,,,,,
logS45,,,,,,
logS1.WS,,,,,,
logS2.WS,,,,,,
logS3.WS,,,,,,
logA254,,,,,,
logA275,,,,,,
logA280,,,,,,
logA290,,,,,,
logA295,,,,,,
logA350,,,,,,
logA370,,,,,,
logA400,,,,,,
logSn.1,,,,,,
logSn.2,,,,,,
logSn.3,,,,,,
logSn.4,,,,,,
logSn.5,,,,,,
logSn.6,,,,,,
logSn.7,,,,,,
logSn.8,,,,,,
logSn.9,,,,,,
response,,,,,,
